userid,movieid,tagid
0,10,12
0,81,4
0,141,12
0,156,4
0,164,48
0,196,-1
0,249,48
0,304,-1
0,337,12
0,572,48
0,910,4
1,51,22
1,51,40
1,113,12
1,279,40
1,290,113
1,340,48
1,576,-1
2,108,4
2,108,35
2,172,108
2,401,0
2,664,108
2,664,75
3,7,38
3,72,58
3,76,0
3,99,-1
3,242,7
3,324,-1
3,360,-1
3,467,-1
3,468,0
3,655,-1
3,724,-1
4,167,4
4,167,35
4,418,107
4,627,12
4,627,107
4,642,4
4,802,0
4,802,4
5,102,87
5,161,113
5,419,-1
6,296,-1
6,323,35
6,326,12
6,463,35
6,463,70
6,566,48
6,701,41
6,718,48
7,11,60
7,11,12
7,17,12
7,82,126
7,431,12
7,684,-1
8,304,-1
8,450,48
8,794,48
8,794,4
8,821,4
8,964,48
9,66,-1
9,146,7
9,222,12
9,320,12
9,399,14
9,399,13
9,475,12
9,486,7
9,632,-1
9,908,7
10,55,-1
10,138,-1
10,193,61
10,289,-1
10,365,-1
10,393,-1
10,413,-1
10,442,-1
10,611,-1
11,95,-1
11,162,12
11,162,35
11,199,14
11,199,35
11,221,108
11,260,35
11,262,-1
11,283,24
11,296,56
11,412,56
11,495,12
11,880,12
11,975,35
12,318,48
12,318,4
12,357,4
12,537,48
12,862,4
12,875,107
12,966,107
13,70,12
13,70,4
13,137,113
13,187,113
13,187,0
13,188,107
13,343,113
13,343,4
13,381,107
13,416,12
13,433,-1
13,596,4
13,596,13
13,853,40
13,858,91
13,858,4
13,866,12
13,932,13
13,932,192
14,52,-1
14,69,4
14,69,0
14,136,4
14,136,0
14,339,-1
14,534,495
14,589,12
14,589,35
14,729,4
14,855,12
15,150,14
15,168,99
15,168,45
15,395,-1
15,396,12
15,396,99
15,685,-1
16,59,12
16,92,4
16,92,35
16,151,4
16,151,0
16,151,35
16,229,12
16,241,0
16,241,13
16,301,4
16,355,-1
16,420,4
16,420,0
16,420,35
16,458,4
16,458,35
16,829,4
16,829,35
17,70,4
17,77,4
17,176,4
17,374,-1
17,527,67
17,659,4
18,38,-1
18,166,4
18,166,7
18,296,-1
