userid,movieid,rating
0,64,4
0,69,4
0,117,2
0,145,3
0,226,4
0,305,4
0,334,3
0,393,2
0,591,5
0,629,4
0,658,3
0,666,5
0,776,4
0,886,2
0,912,3
1,19,4
1,49,4
1,81,4
1,122,2
1,172,5
1,211,4
1,371,4
1,382,5
1,408,5
1,453,2
1,488,4
1,549,5
1,553,5
1,559,4
1,799,5
1,818,4
1,831,1
1,852,2
1,954,4
2,39,5
2,69,4
2,116,3
2,156,4
2,253,4
2,302,5
2,347,5
2,353,3
2,361,3
2,436,5
2,586,5
2,728,2
2,729,4
2,793,3
2,798,4
2,863,4
2,977,5
3,47,4
3,148,4
3,171,4
3,198,5
3,213,5
3,218,5
3,264,5
3,358,3
3,367,4
3,517,4
3,537,4
3,561,3
3,630,2
3,635,4
3,694,5
3,706,4
3,746,3
3,756,4
3,805,5
3,899,3
3,931,5
4,20,3
4,31,3
4,46,3
4,68,3
4,98,4
4,101,4
4,106,4
4,107,3
4,216,4
4,242,3
4,272,4
4,313,3
4,388,4
4,440,3
4,491,3
4,501,3
4,570,4
4,594,3
4,601,3
4,773,3
4,863,5
5,11,5
5,39,5
5,87,4
5,89,5
5,111,4
5,177,4
5,251,3
5,304,4
5,348,4
5,381,5
5,424,5
5,494,5
5,501,3
5,551,4
5,685,2
5,692,5
5,724,4
5,750,2
5,756,4
5,863,5
5,888,3
6,10,5
6,27,5
6,40,5
6,87,3
6,159,4
6,220,3
6,237,5
6,241,4
6,264,4
6,326,3
6,395,4
6,397,5
6,535,4
6,585,4
6,649,5
6,696,2
6,750,2
6,995,2
7,26,3
7,48,4
7,97,4
7,270,3
7,288,4
7,489,5
7,552,5
7,604,4
7,618,3
7,647,5
7,715,5
7,823,4
7,921,5
7,990,4
8,23,5
8,48,4
8,64,5
8,88,3
8,97,5
8,113,4
8,133,4
8,180,3
8,211,5
8,213,5
8,241,3
8,277,3
8,295,4
8,332,5
8,368,3
8,379,5
8,389,5
8,408,5
8,461,5
8,503,4
8,558,2
8,576,3
8,596,4
8,642,3
8,656,5
8,717,5
9,75,2
9,131,4
9,140,2
9,180,2
9,204,3
9,207,2
9,261,3
9,299,4
9,442,3
9,509,4
9,559,4
9,706,3
9,771,3
9,859,3
9,999,3
10,23,5
10,24,4
10,56,4
10,94,3
10,104,5
10,134,4
10,157,5
10,208,4
10,211,5
10,215,4
10,230,4
10,239,5
10,273,3
10,352,3
10,456,3
10,463,5
10,539,3
10,548,3
10,692,5
10,720,5
10,734,5
10,922,3
10,996,3
11,0,3
11,14,4
11,35,5
11,73,5
11,206,5
11,213,5
11,231,4
11,238,5
11,462,4
11,500,3
11,521,3
11,615,4
11,673,4
11,705,3
12,70,5
12,107,4
12,118,5
12,140,3
12,199,4
12,205,4
12,241,4
12,352,3
12,438,3
12,546,3
12,595,5
12,673,5
12,676,3
12,774,2
12,964,4
12,982,3
12,987,4
13,105,4
13,116,3
13,141,4
13,195,3
13,296,5
13,314,3
13,348,4
13,516,3
13,635,3
13,663,4
13,709,3
13,847,4
13,851,3
14,21,4
14,36,5
14,45,4
14,108,5
14,142,3
14,190,4
14,221,3
14,233,5
14,282,4
14,368,3
14,450,4
14,454,5
14,575,2
14,716,1
14,834,2
14,890,4
14,913,4
14,924,2
14,971,3
15,0,4
15,43,4
15,68,3
15,91,2
15,156,5
15,203,4
15,224,3
15,253,3
15,323,5
15,373,4
15,434,4
15,454,5
15,507,3
15,532,3
15,652,3
15,660,3
15,666,4
15,758,3
15,778,3
15,857,4
15,997,4
16,29,5
16,67,4
16,89,4
16,124,4
16,136,4
16,168,4
16,218,4
16,236,3
16,258,5
16,282,5
16,527,3
16,603,4
16,810,4
16,905,5
16,911,5
17,123,5
17,157,5
17,162,5
17,237,3
17,309,2
17,351,5
17,401,3
17,456,2
17,458,5
17,605,2
17,638,2
17,665,3
17,768,4
17,824,4
17,828,4
17,997,4
18,13,4
18,17,5
18,42,3
18,108,5
18,142,4
18,146,4
18,175,5
18,177,5
18,277,2
18,392,5
18,451,4
18,505,5
18,538,5
18,559,4
18,576,4
18,597,5
18,846,4
18,872,4
18,935,5
19,7,5
19,42,3
19,51,5
19,65,2
19,120,4
19,176,4
19,199,3
19,308,3
19,331,4
19,335,4
19,408,4
19,445,4
19,474,2
19,573,3
19,578,4
19,596,3
19,644,2
19,704,4
19,752,3
19,753,3
19,818,4
19,837,3
19,838,4
19,860,4
19,908,3
20,11,4
20,40,4
20,48,5
20,76,4
20,139,2
20,154,2
20,168,5
20,225,1
20,252,4
20,262,2
20,291,5
20,323,5
20,429,5
20,431,2
20,502,2
20,551,4
20,649,3
20,747,3
20,761,4
20,778,2
20,780,5
20,787,3
20,994,4
21,2,5
21,7,5
21,41,3
21,86,4
21,221,4
21,226,4
21,263,4
21,264,4
21,288,4
21,323,5
21,360,4
21,495,4
21,496,3
21,513,3
21,602,3
21,676,3
21,700,4
21,762,3
21,802,3
21,842,5
22,11,5
22,17,5
22,29,5
22,52,4
22,69,5
22,80,4
22,86,4
22,175,5
22,185,5
22,212,4
22,258,5
22,260,5
22,341,3
22,358,4
22,393,1
22,395,5
22,453,2
22,454,5
22,492,3
22,511,4
22,546,3
22,631,4
22,633,5
22,734,4
22,749,4
22,875,4
22,888,4
23,9,2
23,56,4
23,67,3
23,81,4
23,82,4
23,99,3
23,184,4
23,186,4
23,390,4
23,438,3
23,455,5
23,559,3
23,591,5
23,786,4
23,810,4
23,963,4
23,964,4
23,973,4
24,41,3
24,122,3
24,150,5
24,190,5
24,302,4
24,322,4
24,384,3
24,445,4
24,450,4
24,471,3
24,729,4
24,767,4
24,796,5
24,850,5
24,935,4
25,8,5
25,18,3
25,34,5
25,140,4
25,141,3
25,194,4
25,266,5
25,365,3
25,368,3
25,489,3
25,523,3
25,641,4
25,769,3
25,820,3
25,921,4
25,924,3
25,928,3
26,52,4
26,55,4
26,68,5
26,75,4
26,92,4
26,217,4
26,221,4
26,292,5
26,320,4
26,379,5
26,435,4
26,528,5
26,561,3
26,745,5
26,780,4
26,806,4
26,904,4
27,20,4
27,52,4
27,259,4
27,283,4
27,299,5
27,426,4
27,538,5
27,781,3
27,822,4
27,845,4
27,917,3
28,15,4
28,41,3
28,115,4
28,156,4
28,165,4
28,218,3
28,239,4
28,255,4
28,291,5
28,368,3
28,371,3
28,416,3
28,443,2
28,527,3
28,568,3
28,583,4
28,595,5
28,630,3
28,704,4
28,724,4
28,868,5
28,869,3
28,899,3
29,0,4
29,13,3
29,32,4
29,37,2
29,62,5
29,64,4
29,78,3
29,192,3
29,219,5
29,233,5
29,237,4
29,292,5
29,328,4
29,421,3
29,426,3
29,544,4
29,555,3
29,598,4
29,647,5
29,690,3
29,697,4
29,725,5
29,795,5
29,816,3
29,822,4
29,841,4
29,942,5
30,58,4
30,64,5
30,98,4
30,186,4
30,251,3
30,272,5
30,335,5
30,360,4
30,423,5
30,441,3
30,485,5
30,497,4
30,578,5
30,596,4
30,670,5
30,694,4
30,695,4
30,811,3
30,902,3
30,966,2
30,986,4
31,72,4
31,76,4
31,106,4
31,128,3
31,145,3
31,151,4
31,160,5
31,170,4
31,346,4
31,350,4
31,377,4
31,474,2
31,512,4
31,555,3
31,561,3
31,639,5
31,675,4
31,687,3
31,693,5
31,711,4
31,737,5
31,740,4
31,821,5
31,856,4
31,897,3
32,17,4
32,26,3
32,34,4
32,121,2
32,128,2
32,132,5
32,136,5
32,169,2
32,203,5
32,258,5
32,263,5
32,312,5
32,318,3
32,336,4
32,410,3
32,415,4
32,441,3
32,445,4
32,513,4
32,566,4
32,599,4
32,611,2
32,617,4
32,630,4
32,631,3
32,668,4
32,706,5
32,825,5
32,826,4
32,878,4
32,888,2
32,889,4
32,998,5
33,62,5
33,65,2
33,107,4
33,131,5
33,152,4
33,166,4
33,168,5
33,222,4
33,236,4
33,270,5
33,286,3
33,291,5
33,304,4
33,335,5
33,368,5
33,371,5
33,395,5
33,446,5
33,531,4
33,571,3
33,713,5
33,784,5
33,943,5
33,979,5
34,68,3
34,87,4
34,108,5
34,146,3
34,253,5
34,255,4
34,316,5
34,321,4
34,355,3
34,461,4
34,540,3
34,687,3
34,762,3
34,794,4
34,814,5
34,993,3
35,20,4
35,32,5
35,90,5
35,120,4
35,163,4
35,201,5
35,212,4
35,255,3
35,289,5
35,296,5
35,381,4
35,450,5
35,456,3
35,463,5
35,513,3
35,521,4
35,535,5
35,568,4
35,650,4
35,662,5
35,723,5
35,808,3
35,826,3
35,896,4
35,926,4
36,15,5
36,31,5
36,59,4
36,67,4
36,75,3
36,152,4
36,168,5
36,206,5
36,213,4
36,217,4
36,255,3
36,258,4
36,277,3
36,281,4
36,343,2
36,412,2
36,413,5
36,504,1
36,650,5
36,719,3
36,922,3
37,52,4
37,112,4
37,146,3
37,153,5
37,160,5
37,201,5
37,239,5
37,244,3
37,274,3
37,321,5
37,524,4
37,532,3
37,552,5
37,596,4
37,640,4
37,742,5
37,758,2
37,759,3
37,763,4
37,819,2
37,858,3
38,114,3
38,116,4
38,142,4
38,198,5
38,203,4
38,219,4
38,223,3
38,247,5
38,261,3
38,268,4
38,291,5
38,413,3
38,546,2
38,623,4
38,629,4
38,661,4
38,719,3
38,764,4
39,60,5
39,98,4
39,226,4
39,243,3
39,324,3
