movieid,rating
0,5
0,3
0,2
0,5
0,4
0,2
0,3
0,5
0,4
0,3
0,4
0,4
0,4
0,4
0,4
0,3
0,3
0,5
0,5
0,5
0,5
0,4
0,5
0,3
0,3
0,5
0,4
0,4
0,5
0,3
0,3
0,5
0,4
0,4
0,3
0,3
0,4
0,5
0,4
0,5
0,4
0,4
0,4
0,5
0,3
0,3
0,5
0,2
0,4
0,4
0,5
0,5
0,4
0,2
0,5
0,4
0,4
0,3
0,5
0,4
0,5
0,3
0,5
0,4
0,5
0,3
0,4
0,4
0,5
0,3
0,5
0,5
0,4
0,5
0,3
0,4
0,4
0,4
0,5
0,5
0,4
0,3
0,4
0,3
0,4
0,5
0,4
0,4
0,4
0,3
0,4
0,4
0,3
0,5
0,5
0,5
0,3
0,3
0,5
0,4
0,3
0,5
0,4
0,5
0,5
0,3
0,4
0,5
0,3
0,4
0,5
0,4
0,5
0,3
0,3
0,5
0,3
0,5
0,4
0,3
0,4
0,4
0,4
0,4
0,4
0,4
0,3
0,5
0,3
0,3
0,4
0,3
1,3
1,3
1,5
1,3
1,4
1,3
1,3
1,4
1,3
1,5
1,4
1,4
1,4
1,4
1,3
1,2
1,4
1,3
1,4
1,4
1,5
1,4
1,3
1,3
1,4
1,5
1,4
1,4
1,5
1,5
1,5
1,4
1,5
1,3
1,4
1,3
1,5
1,4
1,4
1,5
1,4
1,4
1,4
1,5
1,4
1,4
1,5
1,4
1,4
1,3
1,4
1,5
1,4
1,3
1,4
1,4
1,3
1,2
1,3
1,5
2,5
2,3
2,4
2,4
2,3
2,3
2,5
2,4
2,3
2,4
2,5
2,3
2,5
2,5
2,4
2,5
2,5
2,4
2,4
2,4
2,4
2,2
2,4
2,3
2,4
2,4
2,4
2,3
2,5
2,5
2,5
2,5
2,5
2,3
2,4
2,4
2,4
2,4
2,3
2,4
2,5
2,3
2,4
2,4
2,3
2,5
2,3
2,4
2,3
2,4
2,5
2,3
2,4
2,4
2,3
2,3
2,5
2,4
2,4
2,5
2,5
2,5
2,5
2,4
2,5
2,3
2,5
2,3
2,3
2,2
2,5
2,5
2,4
2,5
2,5
2,4
2,5
2,3
2,4
2,4
2,4
2,5
2,4
2,5
2,5
2,5
2,5
2,4
2,4
2,4
2,4
2,4
2,4
2,5
2,5
2,4
2,3
2,3
2,5
2,4
2,5
2,4
2,3
2,4
2,5
2,4
2,4
2,4
2,3
2,5
2,5
2,4
2,5
2,3
2,5
2,3
2,4
2,5
2,4
2,4
2,5
2,3
2,4
2,3
2,3
2,5
2,4
2,4
2,5
2,4
2,5
2,3
2,5
2,5
2,5
3,5
3,4
3,5
3,2
3,4
3,3
3,3
3,4
3,4
3,4
3,4
3,5
3,5
3,4
3,4
3,5
3,4
3,4
3,5
3,4
3,4
3,5
3,5
3,2
3,5
3,3
3,3
3,4
3,1
3,4
3,4
3,5
3,4
3,3
3,5
3,3
3,3
3,3
3,4
3,4
3,3
3,3
3,5
3,5
3,4
3,4
3,4
3,5
3,4
3,3
3,5
3,1
3,3
3,3
3,5
3,4
3,5
3,5
3,3
3,5
3,5
3,4
3,4
3,5
3,5
3,5
3,4
3,5
3,5
3,4
3,4
3,5
3,5
3,4
3,4
3,5
3,3
3,5
3,3
3,3
3,5
3,4
3,5
3,5
3,5
3,5
3,4
3,5
3,4
3,5
3,4
3,5
3,4
3,2
3,3
3,5
3,5
3,5
3,5
3,4
3,5
3,5
3,4
3,5
3,5
3,1
3,4
3,5
3,5
3,3
3,5
3,5
3,5
3,3
3,4
3,5
3,4
3,4
3,5
3,4
3,3
3,5
3,3
3,4
3,5
3,4
3,4
3,5
3,3
3,1
3,4
3,5
3,3
3,2
3,4
3,4
3,4
3,3
3,3
3,4
3,5
3,4
3,5
3,3
3,5
3,4
3,5
3,5
3,4
3,5
3,4
3,4
3,4
3,5
3,5
3,3
3,5
3,5
3,5
3,5
3,4
3,5
3,4
4,5
4,4
4,3
4,4
4,5
4,3
4,3
4,4
4,5
4,3
4,4
4,3
4,4
4,5
4,3
4,5
4,4
4,4
4,5
4,3
4,5
4,5
4,4
4,5
4,5
4,3
4,4
4,3
4,3
4,3
4,3
4,5
4,5
4,3
4,4
4,4
4,5
4,4
4,3
4,5
4,5
4,4
4,5
4,4
4,5
4,4
4,5
4,3
4,5
4,3
4,4
4,3
4,3
4,4
4,4
4,5
4,5
4,4
4,4
4,5
4,4
4,3
4,5
4,5
4,4
4,5
4,3
4,4
4,3
4,5
4,5
4,3
4,3
4,4
4,5
4,4
4,4
4,4
4,5
4,5
4,3
4,5
4,4
4,4
4,5
4,4
4,5
4,5
4,4
4,4
4,5
4,5
5,5
5,5
5,5
5,3
5,4
5,5
5,4
5,5
5,4
5,3
5,5
5,5
5,2
5,4
5,4
5,3
5,4
5,5
5,3
5,5
5,5
5,5
5,4
5,5
5,5
5,5
5,4
5,4
5,5
5,4
5,5
5,5
5,4
5,5
5,4
5,5
5,5
5,5
5,5
5,5
5,3
5,5
5,4
5,4
5,5
5,5
5,4
5,3
5,3
5,4
5,3
5,4
5,4
5,4
5,4
5,4
5,5
5,3
5,5
5,2
5,5
5,5
5,5
5,5
5,5
5,5
5,4
5,5
5,4
5,4
5,3
5,5
5,4
5,5
5,4
5,4
5,4
5,5
5,4
5,5
5,3
5,5
5,5
5,4
5,4
5,5
5,3
5,5
5,5
5,4
5,2
5,3
5,3
5,3
5,4
5,4
5,5
5,3
5,4
5,3
5,5
5,4
5,5
5,5
5,3
5,3
5,4
5,4
5,3
5,4
5,5
5,3
5,5
5,5
5,5
5,4
5,5
5,3
5,5
5,4
5,4
5,5
5,5
5,1
5,5
5,5
5,2
5,4
5,4
5,4
5,4
5,5
5,4
5,4
5,4
5,4
5,5
5,4
5,4
5,5
5,3
5,5
5,4
5,4
5,4
5,5
5,4
5,3
5,5
5,5
5,4
5,5
6,5
6,5
6,4
6,5
6,4
6,4
6,3
6,4
6,3
6,4
6,5
6,5
6,5
6,3
6,3
6,2
6,5
6,3
6,4
6,4
6,4
6,3
6,5
6,4
6,4
6,3
6,5
6,4
6,5
6,3
6,4
6,3
6,4
6,4
6,3
6,5
6,4
6,5
6,4
6,2
6,3
6,3
6,5
6,3
6,3
6,3
6,4
6,5
6,3
6,4
6,4
6,3
6,4
6,5
6,5
6,5
6,5
6,4
6,5
6,4
6,4
6,3
6,3
6,4
6,4
6,4
6,5
6,5
6,4
6,4
6,2
6,1
6,4
6,4
6,3
6,4
6,4
6,2
6,4
6,4
6,4
6,3
6,5
6,5
6,4
6,5
6,2
6,4
6,3
6,3
6,4
6,3
6,2
6,5
6,4
6,5
6,4
6,3
6,4
6,4
6,2
6,4
6,4
6,3
6,4
6,5
6,5
6,2
6,5
6,4
6,5
6,3
6,3
6,5
6,5
6,2
6,5
6,3
6,3
6,4
6,4
6,4
6,5
6,3
6,4
6,4
6,4
6,2
6,3
6,4
7,4
7,5
7,4
7,3
7,3
7,4
7,3
7,4
7,5
7,5
7,4
7,5
7,5
7,5
7,3
7,3
7,3
7,5
7,3
7,4
7,4
7,3
7,5
7,4
7,2
7,3
7,4
7,4
7,5
7,5
7,4
7,4
7,5
7,5
7,4
7,4
7,4
7,5
7,5
7,5
7,5
7,4
7,4
7,4
7,5
7,3
7,4
7,5
7,4
7,4
7,4
7,5
7,3
7,3
7,4
7,4
7,5
7,3
7,5
7,3
7,5
7,4
7,3
7,4
7,3
7,5
7,4
7,4
7,4
7,5
7,5
7,5
7,5
7,4
7,3
7,3
7,4
7,5
7,3
7,5
7,3
7,2
7,4
7,4
7,3
7,5
7,3
7,4
7,5
7,4
7,4
7,3
7,3
7,3
8,5
8,5
8,3
8,4
8,4
8,3
8,5
8,4
8,4
8,5
8,5
8,5
8,5
8,5
8,3
8,4
8,5
8,4
8,3
8,4
8,5
8,5
8,4
8,5
9,5
9,4
9,4
9,4
9,4
9,2
9,4
9,4
9,3
9,4
9,3
9,5
9,5
9,4
9,5
9,4
9,4
9,4
9,5
9,4
9,4
9,5
9,5
9,5
9,3
10,3
10,3
10,4
10,4
10,4
10,3
10,3
10,4
10,3
10,3
10,3
10,5
10,4
10,4
10,3
10,3
10,5
10,5
10,4
10,3
10,5
10,3
10,3
10,5
10,3
10,2
10,2
10,4
10,3
10,3
10,3
10,4
10,4
10,4
10,3
10,4
10,4
10,2
10,5
10,4
10,4
10,4
10,2
10,5
10,5
10,5
10,2
10,4
10,3
10,5
10,3
10,3
10,5
10,5
10,5
10,3
10,2
10,3
10,5
10,3
10,3
10,5
10,4
10,5
10,4
11,4
11,5
11,4
11,5
11,4
11,5
11,4
11,4
12,5
12,4
12,4
12,5
12,3
12,2
12,4
12,3
12,5
12,3
12,5
12,4
12,5
12,4
12,4
12,5
12,5
12,5
12,3
12,3
12,4
12,4
12,4
12,4
12,5
12,3
12,4
12,3
12,4
12,4
12,5
12,5
12,3
12,5
12,3
12,5
12,4
12,4
12,4
12,4
12,3
12,4
12,5
12,5
12,2
12,3
12,5
12,4
12,5
12,4
12,3
12,4
12,4
12,2
12,3
12,4
12,3
12,5
12,4
12,3
12,3
12,3
12,3
12,4
12,5
12,4
12,5
12,5
12,3
12,5
12,5
12,5
12,4
12,5
12,4
12,3
12,4
12,3
12,4
12,4
12,3
12,4
12,5
12,4
12,4
12,4
12,4
12,4
12,5
13,5
13,5
13,5
13,5
13,5
13,4
13,4
13,5
13,5
13,4
13,5
13,5
13,5
13,2
13,5
13,4
13,4
13,3
13,5
13,5
13,4
13,5
13,4
13,4
13,5
13,5
13,5
13,4
13,5
13,5
13,4
13,4
13,5
13,3
13,4
13,5
13,4
13,5
13,3
13,5
13,3
13,4
13,4
13,5
13,4
13,5
13,4
13,4
13,5
13,5
13,3
13,4
13,4
13,4
13,3
13,3
13,4
13,5
13,3
13,4
13,4
13,3
13,5
13,3
13,4
13,4
13,4
13,3
13,4
13,4
13,4
13,5
13,5
13,5
14,4
14,4
14,5
14,4
14,5
14,3
14,4
14,5
14,5
14,4
14,4
14,4
14,5
14,3
14,3
14,4
14,4
14,3
14,3
14,3
14,3
14,4
14,5
14,4
15,3
15,5
15,5
15,4
15,5
15,3
15,4
15,5
15,5
15,5
15,4
15,4
15,5
15,4
15,4
15,3
15,4
15,5
15,4
15,5
15,4
15,5
15,3
15,5
15,5
15,4
15,4
15,4
15,4
15,5
15,4
15,4
15,4
15,4
15,5
15,4
15,5
15,5
15,2
15,4
15,5
15,3
15,5
15,5
15,5
15,4
15,5
15,4
15,4
15,5
15,4
15,4
15,4
15,5
15,4
15,4
15,4
15,5
15,5
15,3
15,5
15,3
15,4
15,4
15,5
15,4
15,3
15,5
15,4
15,4
15,4
15,5
15,4
15,5
15,5
15,4
15,4
15,4
15,5
15,5
15,5
15,5
15,5
15,4
15,5
15,4
15,3
15,4
15,5
15,4
15,4
15,3
15,4
15,4
15,5
15,5
15,3
15,3
15,4
15,5
15,4
15,5
15,5
15,4
15,4
15,5
15,4
15,4
15,3
15,5
15,4
15,5
15,5
15,4
15,4
15,5
15,4
15,4
15,3
15,5
15,4
15,4
15,3
15,5
15,3
15,4
15,4
15,4
15,5
16,5
16,5
16,4
16,5
16,4
16,5
16,4
16,4
16,4
16,5
16,5
16,4
16,5
16,5
16,4
16,4
16,5
16,5
16,4
16,4
16,5
16,4
16,5
16,5
16,5
16,3
16,4
16,5
16,5
16,4
16,4
16,3
16,3
16,5
16,3
16,4
16,5
16,5
16,5
16,5
16,3
16,4
16,4
16,5
16,4
16,3
16,4
16,3
16,3
16,3
16,5
16,4
16,4
16,3
16,5
16,4
16,5
16,5
16,5
16,5
16,4
16,5
16,5
16,3
16,4
16,4
16,5
16,5
16,4
16,5
16,5
16,5
16,5
16,4
16,4
16,3
16,3
16,4
16,4
16,3
16,3
16,4
16,4
16,4
16,3
16,5
16,5
16,4
16,5
16,4
16,4
16,5
16,5
16,5
16,4
16,2
16,3
16,3
16,5
16,5
16,4
16,4
16,5
16,4
16,5
16,3
16,5
16,5
16,3
16,4
16,3
16,4
16,5
16,5
16,3
16,5
16,5
16,5
16,4
16,5
16,4
16,5
16,5
16,4
16,5
16,5
16,5
16,4
16,4
16,3
16,4
16,3
16,3
16,5
16,5
16,4
16,3
16,5
16,4
16,3
16,1
16,3
16,4
16,4
16,3
16,5
16,3
16,3
16,4
16,5
16,4
16,5
16,5
16,5
16,4
16,4
16,5
16,5
16,4
16,5
16,5
16,4
16,5
16,3
16,5
16,5
16,5
16,5
16,3
16,4
16,3
16,4
16,4
16,5
16,4
16,3
16,3
16,5
16,5
16,4
16,3
16,5
16,4
16,4
16,4
16,4
16,4
16,5
16,4
16,4
16,5
16,5
16,5
16,4
16,3
16,5
16,5
16,5
16,3
16,4
16,4
16,4
16,5
17,5
17,5
17,4
17,4
17,5
17,5
17,5
17,4
17,5
17,4
17,4
17,4
17,5
17,5
17,4
17,5
17,5
17,4
17,5
17,5
17,5
17,4
17,5
17,4
17,5
17,5
17,4
17,5
17,5
17,3
17,5
17,4
17,4
17,5
17,4
17,4
17,4
17,5
17,5
17,5
17,4
17,3
17,5
17,2
17,5
17,4
17,4
17,3
17,5
17,4
17,4
17,5
17,4
17,5
17,4
17,5
17,4
17,5
17,5
17,5
17,4
17,3
17,3
17,3
17,3
17,3
17,3
17,3
17,5
17,5
17,3
17,4
17,4
17,3
17,4
17,5
17,3
17,5
17,5
17,3
17,5
17,4
17,5
17,5
17,5
17,5
17,5
17,5
17,5
17,5
17,5
17,3
17,5
17,5
17,5
17,5
17,4
17,1
17,5
17,3
17,3
17,5
17,4
17,3
17,4
17,5
17,3
17,5
17,5
18,5
18,5
18,4
18,5
18,5
18,4
18,3
18,5
18,3
18,5
18,4
19,5
19,5
19,3
19,4
19,4
19,4
19,3
19,4
19,5
19,4
19,4
20,3
20,5
20,4
20,5
20,4
20,5
20,4
20,5
20,5
20,4
20,5
20,3
20,5
20,5
20,5
20,3
20,5
20,5
20,4
20,4
20,4
20,4
20,5
20,4
21,5
21,5
21,5
21,5
21,4
21,4
21,5
21,3
21,2
21,4
21,4
21,5
21,4
21,5
21,4
21,5
21,4
21,3
21,3
21,4
21,5
21,3
21,5
21,5
21,3
21,5
21,4
21,3
21,4
21,5
21,3
21,5
21,3
21,4
21,3
21,3
21,4
21,5
21,5
21,3
21,5
21,5
21,4
22,3
22,4
22,3
22,5
22,5
22,5
22,3
22,3
22,5
22,4
22,4
22,5
22,4
22,4
22,5
23,4
23,3
23,4
23,5
23,4
23,5
23,4
23,4
23,2
23,5
23,5
23,3
23,5
23,4
24,5
24,5
24,5
24,5
24,4
24,4
24,5
24,5
24,4
24,5
24,5
24,5
24,5
24,4
24,3
24,5
24,5
24,3
24,5
24,5
24,5
24,4
24,5
24,3
24,4
24,4
24,5
24,4
24,5
24,3
24,5
24,5
24,4
24,4
24,3
24,4
24,5
24,5
24,5
24,4
24,3
24,4
24,4
24,3
24,4
24,5
24,4
24,5
24,4
24,4
24,5
24,4
24,3
24,3
24,5
24,5
24,5
24,4
24,5
24,5
24,3
24,5
24,4
24,5
24,5
24,3
24,3
24,4
24,4
24,4
24,3
24,1
24,3
24,5
24,2
24,4
24,5
24,5
24,3
24,5
24,3
24,5
24,4
24,4
24,4
24,4
24,5
24,4
24,4
24,4
24,3
25,5
25,5
25,4
25,4
25,4
25,3
25,4
25,5
25,3
25,4
25,3
25,3
25,5
25,5
25,5
25,4
25,4
25,3
25,5
25,3
25,3
25,5
25,4
25,1
25,5
25,5
25,4
25,4
25,4
25,3
25,2
25,4
25,5
25,5
25,4
25,4
25,2
25,5
25,5
25,4
25,4
25,4
25,5
25,4
25,4
25,4
25,5
25,3
25,5
25,4
25,5
25,5
25,5
25,3
25,3
25,4
25,4
25,3
25,5
25,3
25,3
25,4
25,5
25,4
25,5
25,4
25,4
25,5
25,4
25,5
25,5
25,5
25,5
25,5
25,4
25,4
25,4
25,3
25,4
25,5
25,4
25,5
25,5
25,5
25,4
25,4
25,4
25,5
25,5
25,3
25,5
25,4
25,4
25,4
25,4
25,4
25,5
25,5
25,4
26,3
26,5
26,4
26,3
26,4
26,3
26,5
26,3
26,4
26,5
26,3
26,4
26,3
26,3
26,4
26,4
26,5
26,4
26,3
26,4
26,3
26,3
26,4
26,3
26,2
26,5
26,3
26,4
26,5
26,5
26,4
26,5
26,5
26,4
26,4
26,5
26,4
26,4
27,4
27,5
27,5
27,5
27,4
27,4
27,2
27,4
27,5
27,3
27,4
27,4
27,5
27,3
27,3
27,4
27,3
27,4
28,5
28,3
28,4
28,4
28,4
28,4
28,5
28,5
28,3
28,5
28,3
28,4
28,4
28,5
28,4
28,4
28,4
28,3
28,5
28,4
28,2
28,4
28,5
28,5
28,3
28,5
28,4
28,4
28,4
28,4
28,5
28,3
28,4
28,4
28,5
28,4
28,3
28,4
28,3
28,3
28,5
28,5
28,5
28,5
29,5
29,5
29,4
29,5
29,5
29,3
29,3
29,5
29,4
29,5
29,4
29,5
29,4
29,3
29,5
29,4
29,4
29,3
29,4
29,4
29,5
29,5
30,4
30,3
30,5
30,5
30,3
30,5
30,3
30,4
30,5
30,3
30,5
30,5
30,5
30,4
30,4
30,4
30,5
30,4
30,5
30,5
30,5
30,4
30,3
30,5
30,2
30,4
30,4
30,3
30,4
30,4
30,5
30,4
30,4
30,2
30,3
30,3
30,4
30,3
30,3
30,4
30,4
30,3
30,4
30,5
30,5
30,4
30,4
30,4
30,5
30,4
30,5
30,3
30,3
30,3
30,4
30,4
30,4
30,3
30,4
30,3
30,3
30,4
30,4
30,5
30,5
30,3
30,5
30,4
30,3
30,4
30,4
30,5
30,5
30,4
30,5
30,4
30,5
30,5
30,3
30,3
30,5
30,5
30,4
