movieid,tagid,tagCount
0,0,27052
0,1,15489
0,2,11093
0,3,7869
0,4,7576
0,5,5088
0,6,4188
0,7,2645
1,8,13067
1,9,11115
1,10,5788
1,11,5403
1,12,3473
1,13,3311
1,7,2340
1,14,2207
2,15,17838
2,16,14221
2,10,14213
2,9,8900
2,14,7935
2,17,7031
2,13,6461
2,18,4021
3,19,46335
3,20,29008
3,21,26369
3,22,23954
3,23,11627
3,24,11235
3,25,11197
3,26,9226
4,10,15779
4,27,15705
4,28,15672
4,29,14574
4,30,9710
4,31,9309
4,21,8635
4,32,7851
5,33,30910
5,34,25587
5,35,23310
5,27,20006
5,36,18234
5,21,14719
5,30,13213
5,18,5194
6,37,23049
6,38,11017
6,39,10243
6,26,9214
6,40,8723
6,1,8099
6,23,6217
6,41,5559
7,9,21991
7,42,12798
7,10,11432
7,21,9369
7,43,3616
7,44,1682
7,45,1513
7,46,1435
8,47,3550
8,48,3097
8,49,1864
8,50,1453
8,51,1179
8,25,1006
8,52,735
8,33,354
9,53,11772
9,54,8188
9,25,6234
9,10,5681
9,21,5151
9,55,3760
9,35,2670
9,13,2605
10,56,18494
10,57,7316
10,2,6298
10,58,5440
10,3,4952
10,59,4793
10,25,3727
10,7,1424
11,60,2896
11,61,1509
11,62,878
11,63,792
11,64,568
11,65,409
11,7,352
11,66,236
12,56,25557
12,57,13360
12,67,12846
12,2,8645
12,68,8582
12,3,7758
12,25,7321
12,7,2051
13,69,8154
13,33,6342
13,70,4694
13,36,3538
13,25,3070
13,71,2293
13,64,2244
13,72,1392
14,33,4920
14,73,4287
14,36,3039
14,25,2994
14,50,2323
14,74,1671
14,75,1503
14,76,884
15,77,50899
15,78,22203
15,79,20694
15,80,17063
15,81,6885
15,82,6117
15,83,3360
15,84,3188
16,77,70565
16,85,32054
16,79,31544
16,80,26712
16,81,11622
16,82,6588
16,84,5558
16,7,5247
17,86,8022
17,35,5260
17,87,4269
17,88,4268
17,21,2798
17,89,2195
17,18,2111
17,50,1605
18,90,2779
18,91,1834
18,92,1321
18,50,1257
18,12,507
18,93,478
18,22,417
18,66,403
19,90,3200
19,91,2294
19,50,1700
19,92,1327
19,93,766
19,94,718
19,66,551
19,12,471
20,79,6535
20,33,5770
20,95,3672
20,96,2160
20,36,1453
20,84,1108
20,97,641
20,66,615
21,98,3167
21,79,2143
21,99,1896
21,80,1645
21,43,1306
21,82,967
21,81,493
21,7,296
22,100,5380
22,80,3371
22,101,2460
22,102,1283
22,21,949
22,50,899
22,103,616
22,7,404
23,104,2144
23,79,1730
23,80,1334
23,105,1265
23,43,869
23,82,869
23,81,321
23,7,242
24,9,23577
24,10,12798
24,42,12534
24,21,9752
24,43,4014
24,106,1843
24,46,1634
24,107,1601
25,9,20488
25,10,11372
25,42,11128
25,21,8494
25,43,3256
25,108,1625
25,46,1341
25,45,1302
26,79,7544
26,10,4470
26,109,3539
26,110,3018
26,84,1745
26,111,1479
26,13,1267
26,112,885
27,79,7707
27,10,4853
27,110,3976
27,109,3355
27,111,1721
27,84,1538
27,13,1348
27,113,844
28,79,13483
28,10,8596
28,109,6882
28,110,5335
28,84,2980
28,114,2969
28,111,2889
28,13,2607
29,104,2622
29,79,1779
29,80,1362
29,82,959
29,43,737
29,115,573
29,81,373
29,7,278
30,79,14970
30,10,9864
30,110,7371
30,84,4394
30,116,4086
30,1,3813
30,13,2975
30,112,2068
31,79,23965
31,117,14835
31,10,13760
31,1,8061
31,84,6733
31,13,4550
31,112,3886
31,7,2287
32,79,15496
32,109,8472
32,10,8150
32,110,7180
32,1,3663
32,84,3491
32,13,2461
32,111,2092
33,118,10632
33,119,10250
33,10,8180
33,5,7204
33,120,4795
33,13,3959
33,121,1719
33,7,1565
34,79,14804
34,122,8938
34,10,8664
34,84,3999
34,1,3520
34,13,2950
34,123,2859
34,112,1969
35,79,9148
35,10,5712
35,122,5403
35,84,2346
35,1,2132
35,123,1891
35,13,1844
35,112,1179
36,77,42025
36,124,16756
36,79,16752
36,80,13448
36,81,5495
36,82,4915
36,83,2685
36,7,2516
37,118,6856
37,119,6232
37,10,5421
37,5,4413
37,120,3740
37,13,2570
37,121,1155
37,7,1043
38,77,25130
38,79,10713
38,80,7614
38,125,7250
38,82,3019
38,81,2962
38,83,1564
38,7,1447
39,79,20633
39,109,14687
39,10,11360
39,126,7521
39,16,6277
39,84,4232
39,13,3847
39,112,2573
40,79,3667
40,10,2195
40,122,1869
40,127,1263
40,42,1137
40,84,779
40,111,711
40,13,527
41,77,8112
41,79,5054
41,80,3948
41,128,3052
41,129,2574
41,130,1975
41,82,1719
41,81,908
42,131,13238
42,132,6129
42,133,4333
42,102,3945
42,134,2682
42,135,2624
42,136,1808
42,18,1498
43,137,6961
43,45,6886
43,89,5765
43,138,4472
43,139,3292
43,21,2331
43,10,2119
43,140,1862
44,141,1794
44,10,1517
44,142,1308
44,143,975
44,13,788
44,144,772
44,18,591
44,145,379
45,45,10727
45,10,6080
45,146,4324
45,13,2981
45,21,2379
45,147,1230
45,148,1065
45,7,995
46,64,25339
46,149,19967
46,21,18400
46,27,13891
46,150,10832
46,151,8614
46,18,6007
46,7,4147
47,152,330
47,35,197
47,153,174
47,154,134
47,90,96
47,155,85
47,156,80
47,92,49
48,152,1385
48,157,1168
48,158,614
48,23,332
48,159,257
48,26,219
48,41,168
48,160,134
49,64,4236
49,151,2425
49,161,1690
49,162,1509
49,27,1252
49,163,959
49,50,808
49,7,501
50,120,18262
50,10,15161
50,164,14398
50,121,12501
50,21,10007
50,13,7683
50,165,7612
50,166,7092
51,10,3838
51,167,2370
51,162,2148
51,13,2005
51,50,1830
51,168,1618
51,18,1413
51,169,1078
52,170,190
52,12,173
52,171,138
52,172,76
52,173,74
52,174,68
52,50,45
52,175,42
53,176,9842
53,10,9448
53,50,8339
53,177,7485
53,25,5618
53,13,4709
53,80,3318
53,18,2639
54,177,5823
54,12,5644
54,50,5074
